70 121
1 2
1 18
2 3
3 4
3 56
4 5
5 6
5 9
5 36
6 7
6 24
6 52
7 8
7 18
7 21
8 9
8 13
8 38
8 63
9 10
9 45
10 11
10 17
10 42
11 12
12 13
12 59
13 14
14 15
14 16
15 16
16 17
16 40
17 18
18 19
18 45
18 70
19 20
19 45
19 61
20 21
20 34
20 62
21 22
22 23
23 24
23 27
23 42
23 55
24 25
25 26
25 39
26 27
26 68
27 28
27 35
27 54
28 29
28 61
29 30
29 41
29 69
30 31
30 35
31 32
31 33
32 33
32 52
32 60
33 34
34 35
34 40
34 53
34 60
35 36
35 43
36 37
37 38
38 39
38 43
39 40
40 41
41 42
42 43
43 44
43 53
43 55
44 45
44 56
45 46
46 47
47 48
48 49
48 51
48 62
49 50
49 52
50 51
50 69
51 52
52 53
52 68
53 54
53 61
53 68
54 55
55 56
56 57
57 58
58 59
59 60
60 61
61 62
62 63
63 64
64 65
65 66
66 67
67 68
68 69
69 70
